section,prompt,masked,answer,missing,term_id
1. Completa els buits amb s o z,Amb aquell pinzell va fer el retrat d’una donzella de gran bellesa.,pin_ell,pinzell,z,7fa3ad27437bb103-1
1. Completa els buits amb s o z,Amb aquell pinzell va fer el retrat d’una donzella de gran bellesa.,don_ella,donzella,z,e12a85a0c82a3f9a-2
1. Completa els buits amb s o z,Amb aquell pinzell va fer el retrat d’una donzella de gran bellesa.,belle_a,bellesa,s,b79e920141a2feaf-3
1. Completa els buits amb s o z,N’Ezequiel va visitar el zoològic i va veure un mico saltant des d’un un trapezi i un ase jugant amb una zebra.,N’E_equiel,N’Ezequiel,z,a79e755d1ad0710b-4
1. Completa els buits amb s o z,N’Ezequiel va visitar el zoològic i va veure un mico saltant des d’un un trapezi i un ase jugant amb una zebra.,vi_itar,visitar,s,a5ad7ce7f92f457a-5
1. Completa els buits amb s o z,N’Ezequiel va visitar el zoològic i va veure un mico saltant des d’un un trapezi i un ase jugant amb una zebra.,_oològic,zoològic,z,0d33efe0cb7547d9-6
1. Completa els buits amb s o z,N’Ezequiel va visitar el zoològic i va veure un mico saltant des d’un un trapezi i un ase jugant amb una zebra.,trape_i,trapezi,z,2a6d4b20ea60ef07-7
1. Completa els buits amb s o z,N’Ezequiel va visitar el zoològic i va veure un mico saltant des d’un un trapezi i un ase jugant amb una zebra.,_ebra,zebra,z,6e47bea6623179fa-8
1. Completa els buits amb s o z,Els conferenciants varen posar molt d’enfàsi en la necessitat de tractar l’esquizofrènia i la psicosi des de diverses disciplines.,po_ar,posar,s,fd3873f26a2b0fe9-9
1. Completa els buits amb s o z,Els conferenciants varen posar molt d’enfàsi en la necessitat de tractar l’esquizofrènia i la psicosi des de diverses disciplines.,enfà_i,enfàsi,s,daa23f3199635bc9-10
1. Completa els buits amb s o z,Els conferenciants varen posar molt d’enfàsi en la necessitat de tractar l’esquizofrènia i la psicosi des de diverses disciplines.,esqui_ofrènia,esquizofrènia,z,53715e1d17f7cf91-11
1. Completa els buits amb s o z,Els conferenciants varen posar molt d’enfàsi en la necessitat de tractar l’esquizofrènia i la psicosi des de diverses disciplines.,psico_i,psicosi,s,86586cf68492a46e-12
1. Completa els buits amb s o z,La desorganització fou la causa del desastre.,de_organització,desorganització,s,7d643cfcea71c650-13
1. Completa els buits amb s o z,La desorganització fou la causa del desastre.,cau_a,causa,s,be124eae9aa3b119-14
1. Completa els buits amb s o z,La desorganització fou la causa del desastre.,de_astre,desastre,s,70479d503431cd37-15
1. Completa els buits amb s o z,Les pageses desaven la casa abans de posar-se a fer lletra.,page_es,pageses,s,fac3e60f91905d6c-16
1. Completa els buits amb s o z,Les pageses desaven la casa abans de posar-se a fer lletra.,de_aven,desaven,s,a2d361d61f363cb7-17
1. Completa els buits amb s o z,Les pageses desaven la casa abans de posar-se a fer lletra.,ca_a,casa,s,537878c3844210c0-18
1. Completa els buits amb s o z,Les pageses desaven la casa abans de posar-se a fer lletra.,po_ar-se,posar-se,s,5018c879a8b7e772-19
1. Completa els buits amb s o z,"Si na Rosa va néixer l’onze de desembre, quin és el seu signe del zodíac?",Ro_a,Rosa,s,d28589f8a3ed001e-20
1. Completa els buits amb s o z,"Si na Rosa va néixer l’onze de desembre, quin és el seu signe del zodíac?",on_e,onze,z,e8c242380b5fcd21-21
1. Completa els buits amb s o z,"Si na Rosa va néixer l’onze de desembre, quin és el seu signe del zodíac?",de_embre,desembre,s,8c61652bffd3b408-22
1. Completa els buits amb s o z,"Si na Rosa va néixer l’onze de desembre, quin és el seu signe del zodíac?",_odíac,zodíac,z,7c5f48c0f86b146c-23
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,osmo_i,osmosi,s,8923eb3896f7109a-24
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,re_ar,resar,s,d2bc8988d4bfa818-25
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,mú_ic,músic,s,9adc06719ca721a2-26
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,col_ada,colzada,z,01fed2eccd941959-27
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,esmor_ar,esmorzar,z,3be67be6a534e52a-28
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,trape_ista,trapezista,z,be2fe1a4b77978b0-29
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,re_ultat,resultat,s,cde02a9c3200cdcf-30
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,horit_ó,horitzó,z,8e83db22d121a52c-31
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,o_ó,ozó,z,5254b51926f85a58-32
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,al_ina,alzina,z,f51a6faf5f21098f-33
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,quin_e,quinze,z,0ae3668027b277cf-34
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,po_ició,posició,s,8fd819fc92bdeb6e-35
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,brun_ir,brunzir,z,3fa4b6a3c7ee039d-36
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,re_um,resum,s,384267f6b47c21c8-37
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,topa_i,topazi,z,0cdf068fb66b95b8-38
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,dipò_it,dipòsit,s,07c9497ed3f7535e-39
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,de_è,desè,s,4d11b2f758a99efa-40
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,recol_a,recolza,z,a97ca25a55fd867d-41
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,tre_or,tresor,s,2e1a5cdd62777e09-42
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,_ulu,zulu,z,f284a779eec24ff3-43
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,cerve_a,cervesa,s,9fe593004cdff9b9-44
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,bi_antí,bizantí,z,01afcde1166ef9e4-45
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,ben_ina,benzina,z,671b5bd9dd75a495-46
2. Posa s o z en els buits segons correspon,Posa s o z en els buits segons correspon,pre_ó,presó,s,8a01e6202804a5f3-47
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_inistre,sinistre,s,6e8b2fce4ff2e882-48
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_olitud,solitud,s,db68f1f695a2cc24-49
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_uc,suc,s,9d8fe7c118a264ba-50
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_erra,serra,s,47a833ffb3aef2b0-51
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_ense,sense,s,8e4e0c93a8907ccc-52
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_irerer,cirerer,c,1b7b62cd6d6dd53f-53
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_el,cel,c,cc3ba2a3c236d005-54
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_avi,savi,s,b1f5fbd8099ede3b-55
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_istell,cistell,c,17113ffc7c71a899-56
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_incer,sincer,s,96938f60342f69e5-57
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_iment,ciment,c,59be81f4e1ce3425-58
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_eller,celler,c,b940919484a1204e-59
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_endrer,cendrer,c,1aaaed9578531147-60
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_índria,síndria,s,fe497df0accfd305-61
4. Posa s o c en els espais en blanc,Posa s o c en els espais en blanc,_uro,suro,s,3a06d91aef576823-62
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",cal_at,calçat,ç,cae11258d63fdc95-63
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",pen_ar,pensar,s,547987691735e451-64
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",llan_ar,llançar,ç,48c51dd9ed60f33d-65
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",sal_a,salsa,s,bb6c45f80905c647-66
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",roman_os,romanços,ç,cd98f8ea1c313793-67
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",arron_ar,arronsar,s,7ec24fabb69ed32f-68
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",comen_ament,començament,ç,a33c6e7c1ccd55b9-69
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",coneixen_a,coneixença,ç,47b32e9f2ca21e9c-70
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",mel_a,melsa,s,8ab4c17aaecf2730-71
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",can_at,cansat,s,95b45876ba0ecc66-72
"6. Completa els espais en blanc amb s, c o ç","Completa els espais en blanc amb s, c o ç",in_istir,insistir,s,4f88948e83a356e5-73
