section,prompt,masked,answer,missing,term_id
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,Germ_,Germà,à,eb9d323a30487ec1-1
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,acr_poli,acròpoli,ò,358e3780911b6abe-2
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,_mpetu,ímpetu,í,a6f43c96da8eaa39-3
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,congr_s,congrés,é,7b55d1d3b40b8fdf-4
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,exam_n,examen,e,952e67da2a22f18b-5
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,ll_grima,llàgrima,à,4a76a30760a712fe-6
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,r_s,rús,ú,06d0d692338d566e-7
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,tal·l_s,tal·lús,ú,0302a50dcb18dea5-8
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,rit_,ritu,u,50fd0e29f918c85c-9
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,_nima,ànima,à,db48026f71de1151-10
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,gaiat_,gaiatò,ò,60c11962286eba1a-11
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,higien_,higiene,e,93b98aa5b6e4c4d1-12
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,oport_,oportú,ú,4f141a6dc8e7827d-13
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,c_nnabis,cànnabis,à,bdc24f4c09aa5ed5-14
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,pur_,puré,é,bb97686a1ddea6ca-15
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,ef_mer,efímer,í,a8dfd53e504a3d36-16
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,fullet_,fulletó,ó,d1b9b72a1baf66e3-17
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,d_namo,dínamo,í,12115cc9b34466bf-18
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,bistur_,bisturí,í,46a9d727a439c0f5-19
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,est_p,estop,o,0d0cdd35deeea9cd-20
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,desinter_s,desinterès,è,1d24a3868d44eecb-21
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,ex_mens,exàmens,à,cf5237574f7775ee-22
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,al_,alè,è,8ea377bd74876c1f-23
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,baixam_r,baixamar,a,b6f63d07531a21df-24
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,Ram_n,Ramon,o,e1fb0dffa22b29e7-25
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,t_tanus,tètanus,è,9acefab9e11e3bbc-26
1. Copia les paraules i accentua les que cal,1. Copia les paraules i accentua les que cal,_ngelus,àngelus,à,2698d1594bf9bf16-27
