section,prompt,masked,answer,missing,term_id
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ anormalitat,la anormalitat,la,8ee1ad987c5664bf-1
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ hawaiana,la hawaiana,la,04af97b6b5cab17a-2
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___hipòdrom,l’hipòdrom,l’,e8ec0b33e8e87967-3
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ italiana,la italiana,la,42eb132be1a9d7a9-4
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___institut,l’institut,l’,f24c422c9ec9d2ab-5
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ hisenda,la hisenda,la,d75969d7da418e7e-6
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ unió,la unió,la,7dec524406d2b3c4-7
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ ianqui,el ianqui,el,aa7204af989c5080-8
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ o,la o,la,06c0665616ef77f4-9
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ u,la u,la,518d46cf92f36a2a-10
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ Haia,la Haia,la,2068ffd1b34d1cfd-11
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___índia,l’índia,l’,545d3295a1999dee-12
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ història,la història,la,d59e2a32f87bf51f-13
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ indústria,la indústria,la,62b42a9361da17a1-14
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ hiena,la hiena,la,bf8d77f75c20d82d-15
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ humitat,la humitat,la,d6bca173d02697fc-16
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ hàmster,el hàmster,el,c76f7c6f924de443-17
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___hàbit,l’hàbit,l’,66a98e29846274ea-18
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ iaio,el iaio,el,a485203f748bc57a-19
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ essa,la essa,la,80288c6a9440a77c-20
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ hall,el hall,el,1837db0ecfef6de6-21
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ ira,la ira,la,1f4145339afc3144-22
"1. Escriu el, la o l' segons convengui","1. Escriu el, la o l' segons convengui",___ska,l’ska,l’,63b17a98ea6a61e8-23
