section,prompt,masked,answer,missing,term_id
"1. Completa els buits amb tg, tj, g o j",En Jeroni es va marejar durant el viatge a Argentina.,_eroni,Jeroni,j,bfa6a69f0b7223da-1
"1. Completa els buits amb tg, tj, g o j",En Jeroni es va marejar durant el viatge a Argentina.,mare_ar,marejar,j,0bc2b80585dae299-2
"1. Completa els buits amb tg, tj, g o j",En Jeroni es va marejar durant el viatge a Argentina.,via__e,viatge,tg,c730dab828082fd8-3
"1. Completa els buits amb tg, tj, g o j",En Jeroni es va marejar durant el viatge a Argentina.,Ar_entina,Argentina,g,2c847b09c0edc8b7-4
"1. Completa els buits amb tg, tj, g o j",El paisatgista anà a Egipte a estudiar geologia.,paisa__ista,paisatgista,tg,76fba707e6fc6708-5
"1. Completa els buits amb tg, tj, g o j",El paisatgista anà a Egipte a estudiar geologia.,E_ipte,Egipte,g,2b130cb7fe8708f7-6
"1. Completa els buits amb tg, tj, g o j",El paisatgista anà a Egipte a estudiar geologia.,_eolo_ia,geologia,gg,9d61f8fb4de0605e-7
"1. Completa els buits amb tg, tj, g o j",Uns joves jugaven malgrat la lletjor del temps.,_oves,joves,j,4aeef00a54ab88af-8
"1. Completa els buits amb tg, tj, g o j",Uns joves jugaven malgrat la lletjor del temps.,_ugaven,jugaven,j,1eeb554af0f7b68c-9
"1. Completa els buits amb tg, tj, g o j",Uns joves jugaven malgrat la lletjor del temps.,lle__or,lletjor,tj,22d69e40947c3c67-10
"1. Completa els buits amb tg, tj, g o j",A la porta del jutjat han penjat una imatge al·legòrica de la justícia.,_utjat,jutjat,j,fcd92bd5cb1ed093-11
"1. Completa els buits amb tg, tj, g o j",A la porta del jutjat han penjat una imatge al·legòrica de la justícia.,ju__at,jutjat,tj,3296bbda7f8f8125-12
"1. Completa els buits amb tg, tj, g o j",A la porta del jutjat han penjat una imatge al·legòrica de la justícia.,pen_at,penjat,j,51d0e94ce8db8205-13
"1. Completa els buits amb tg, tj, g o j",A la porta del jutjat han penjat una imatge al·legòrica de la justícia.,ima__e,imatge,tg,57806813f28b9646-14
"1. Completa els buits amb tg, tj, g o j",A la porta del jutjat han penjat una imatge al·legòrica de la justícia.,_ustícia,justícia,j,04c2e98eea3c8563-15
"1. Completa els buits amb tg, tj, g o j",Imaginar jocs és cosa de genis.,Ima_inar,Imaginar,g,a4ddd5220c6b5ff5-16
"1. Completa els buits amb tg, tj, g o j",Imaginar jocs és cosa de genis.,_ocs,jocs,j,22f430d364ce6076-17
"1. Completa els buits amb tg, tj, g o j",Imaginar jocs és cosa de genis.,_enis,genis,g,dcc38e45ee539d8e-18
"1. Completa els buits amb tg, tj, g o j",En Jesús va trobar un rellotge d’arena i altres objectes antics.,_esús,Jesús,j,c696ca817393fe13-19
