section,prompt,masked,answer,missing,term_id
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,mobl_,moble,e,983f9a1ebf1bec4c-1
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,r_tll_r,ratllar,aa,55e2cf9567195ca2-2
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,c_ndr_r,cendrer,ee,bd4fc5d38dadf203-3
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,mir_s,mires,e,c4e3dceb5e0769c8-4
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,prun_,pruna,a,467cb5caaeefa0e6-5
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,ll_mp_c,llampec,ae,e063b22d95752970-6
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,c_rcàv_m,cercàvem,ee,c91899cc54923c7b-7
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,t_ul_,taula,aa,29c90caa58a2d3cf-8
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,_stóm_c,estómac,ea,57bb45c1cb049186-9
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,pl_tj_,platja,aa,18ef652b6ec786b9-10
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,fr_ul_,fraula,aa,8d9a15690af6c0ad-11
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,_lb_rcoc,albercoc,ae,05c226521a23c792-12
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,c_nt_v_,cantava,aaa,431793ceb25a5e26-13
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,r_fl_xion_n,reflexionen,eee,cbda835a45535dc9-14
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,c_dir_s,cadires,ae,b046f1bc7c2dca1c-15
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,_rr_c_d_,arracada,aaaa,41d11582441c5a87-16
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,s_guér_u,seguéreu,ee,4261d2316b13cb72-17
1. Completa les paraules amb a o e segons pertoqui,1. Completa les paraules amb a o e segons pertoqui,cr_sp_ll,crespell,ee,def01e5889cbe0fe-18
